dataset,vectorization,params,best_model_name,accuracy_test,f1_test,score_similarity
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1'}",svm,0.9118279569892472,0.8560326453637213,0.0285721603911455
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2'}",nb,0.8989247311827957,0.8722394564438385,0.0285721603911455
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 2), 'norm': 'l1'}",svm,0.90752688172043,0.8529348525555158,0.0279436794382037
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 2), 'norm': 'l2'}",lr,0.9182795698924732,0.8782497895367852,0.0279436794382037
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'norm': 'l1'}",svm,0.90752688172043,0.852553277349826,0.0281424505119672
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'norm': 'l2'}",knn,0.9010752688172043,0.8866336854559316,0.0281424505119672
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 10, 'ngram_range': (1, 1), 'norm': 'l1'}",svm,0.9161290322580644,0.859500994207689,0.0316582627741888
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 10, 'ngram_range': (1, 1), 'norm': 'l2'}",lr,0.9182795698924732,0.8725020941106971,0.0316582627741888
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 10, 'ngram_range': (1, 2), 'norm': 'l1'}",svm,0.9096774193548388,0.85492991196338,0.0307803658819084
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 10, 'ngram_range': (1, 2), 'norm': 'l2'}",knn,0.9118279569892472,0.8850116716787111,0.0307803658819084
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 10, 'ngram_range': (1, 3), 'norm': 'l1'}",svm,0.9096774193548388,0.8550512066291661,0.030741709080881
website_classification.csv,tfidf,"{'max_df': 0.8, 'max_features': 5000, 'min_df': 10, 'ngram_range': (1, 3), 'norm': 'l2'}",lr,0.9161290322580644,0.8703411994357573,0.030741709080881
website_classification.csv,tfidf,"{'max_df': 1.0, 'max_features': 100, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1'}",svm,0.7075268817204301,0.6910184072142826,0.1235431857951946
website_classification.csv,tfidf,"{'max_df': 1.0, 'max_features': 100, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l2'}",lr,0.7139784946236559,0.6904974449007129,0.1235431857951946
website_classification.csv,tfidf,"{'max_df': 1.0, 'max_features': 100, 'min_df': 1, 'ngram_range': (1, 2), 'norm': 'l1'}",svm,0.7075268817204301,0.6910184072142826,0.1235431857951946
website_classification.csv,tfidf,"{'max_df': 1.0, 'max_features': 100, 'min_df': 1, 'ngram_range': (1, 2), 'norm': 'l2'}",lr,0.7139784946236559,0.6904974449007129,0.1235431857951946
website_classification.csv,tfidf,"{'max_df': 1.0, 'max_features': 100, 'min_df': 1, 'ngram_range': (1, 3), 'norm': 'l1'}",svm,0.7075268817204301,0.6910184072142826,0.1235431857951946
